TMS_ID,vt_hours
EP000002040157,0.057777778
EP000002040161,1.045833333
EP000002040180,0.178333333
EP000002040184,0.034444444
EP000002040185,0.224444444
EP000002040187,0.07
EP000002040191,0.887222222
EP000002040192,0.004444444
EP000002040193,0.002222222
EP000002040195,0.3075
EP000002040196,0.026944444
EP000002040198,0.010555556
EP000002040205,0.007222222
EP000002040206,0.007777778
EP000002040207,0.001944444
EP000002880188,0.001944444
EP000002880259,306.9083333
EP000002880268,2191.676944
EP000002880269,3.319444444
EP000002880284,2.273611111
EP000002880285,1.943055556
EP000002880286,1.617777778
EP000002880287,3116.406667
EP000003240013,0.717222222
EP000003240079,1.037222222
EP000003240172,0.004166667
EP000003240174,1.586388889
EP000003240175,1.484722222
EP000003240176,8.33E-04
EP000003240177,2.434444444
EP000003240178,1.158611111
EP000003240179,0.514722222
EP000003240180,2.438055556
EP000003240182,0.008055556
EP000003240183,1.768055556
EP000003240186,1.558055556
EP000003240187,0.023611111
EP000003240188,0.278888889
EP000003240190,1.514166667
EP000003240194,0.082222222
EP000003240196,1.664722222
EP000003240197,0.661666667
EP000003240198,0.001111111
EP000003240199,0.029722222
EP000003240200,2.128055556
EP000003240201,0.038055556
EP000003240202,0.001944444
EP000003240203,0.029722222
EP000003240204,0.8
EP000003240205,0.853611111
EP000003240207,0.722777778
EP000003240208,5.115277778
EP000003240209,0.015555556
EP000003240211,0.914166667
EP000003240212,1.052222222
EP000003240213,0.922222222
EP000003240214,0.2625
EP000003240215,0.764166667
EP000003240216,0.824444444
EP000003240218,0.005
EP000003240219,1.285
EP000003240220,0.001388889
EP000003240221,0.889444444
EP000003240222,1.9775
EP000003240223,0.711944444
EP000003240224,0.4075
EP000003240225,1.409722222
EP000003240226,0.698888889
EP000003240229,4.503888889
EP000003240231,0.265
EP000003240232,3.116944444
EP000003240233,0.653888889
EP000003240234,2.342222222
EP000003240235,0.688055556
EP000003240236,0.784722222
EP000003240237,0.369166667
EP000003240238,1.204444444
EP000003240239,0.500833333
EP000003240241,800.6227778
EP000003240242,901.4497222
EP000003240243,844.1672222
EP000003240244,904.48
EP000003240245,1283.702222
EP000003500053,207.8180556
EP000003500090,141.6783333
EP000003500140,167.97
EP000003500162,63.68888889
EP000003500166,75.26888889
EP000003500558,153.5166667
EP000003500562,147.1580556
EP000003500563,102.9313889
EP000003500570,78.80222222
EP000003500571,39.58361111
EP000003500572,64.25416667
EP000003500574,77.43583333
EP000003500575,41.40527778
EP000003500576,63.10277778
EP000003500577,82.67805556
EP000003500579,94.65277778
EP000003500606,201.2438889
EP000003500608,77.755
EP000003500609,83.04722222
EP000003500610,69.75027778
EP000003500617,59.48277778
EP000003500618,100.0463889
EP000003500619,92.17555556
EP000003500621,105.9666667
EP000003500623,78.55555556
EP000003500624,75.96055556
EP000003500629,130.7836111
EP000003500630,91.52527778
EP000003500633,91.23305556
EP000003500654,71.085
EP000003500668,61.89444444
EP000003500669,140.5633333
EP000003500670,115.4433333
EP000003500676,60.01166667
EP000003500677,56.12611111
EP000003500678,51.95527778
EP000003500679,70.01166667
EP000003500680,67.68666667
EP000003500681,75.97277778
EP000003500682,45.53472222
EP000003500683,79.59861111
EP000003500684,57.42166667
EP000003500688,48.81111111
EP000003500691,57.92138889
EP000003500692,56.37277778
EP000003500693,61.51277778
EP000003500694,57.22111111
EP000003500695,222.6130556
EP000003500696,80.47638889
EP000003500716,75.18666667
EP000003500717,56.72388889
EP000004790253,0.013055556
EP000004790254,0.002777778
EP000004790255,0.020833333
EP000004790256,0.3475
EP000004790257,0.251666667
EP000004790258,0.16
EP000004790259,0.676666667
EP000004790260,2.011388889
EP000004790261,0.448055556
EP000004790262,1.196111111
EP000004790263,0.0075
EP000004790264,0.116388889
EP000004790265,0.149444444
EP000004790266,0.385
EP000004790267,1.744444444
EP000004790273,582.6813889
EP000004790274,629.7666667
EP000004790275,633.1397222
EP000004790276,731.8347222
EP000004790277,1104.352222
EP000004790280,0.029722222
EP000004790281,0.010277778
EP000004800015,0.359722222
EP000004800141,0.130555556
EP000005740001,137.4930556
EP000005740002,98.18722222
EP000005740003,61.56722222
EP000005740004,72.64083333
EP000005740005,46.16055556
EP000005740006,49.27583333
